assertion	expected	actual	result
snapshot_drop_recovery	pass	pass	pass
snapshot_producer_restart	pass	pass	pass
snapshot_stale_removal	pass	pass	pass
snapshot_multi_producer_counter	pass	pass	pass
snapshot_duplicate_sequence	pass	pass	pass
snapshot_counter_decrease_rejected	pass	pass	pass
snapshot_type_change_rejected	pass	pass	pass
snapshot_new_epoch_lower_counter	pass	pass	pass
snapshot_histogram_schema_change_rejected	pass	pass	pass
snapshot_histogram_cumulative_decrease_rejected	pass	pass	pass
snapshot_histogram_new_epoch_reset	pass	pass	pass
multi_histogram_compatible	pass	pass	pass
multi_histogram_schema_mismatch_rejected	pass	pass	pass
multi_gauge_without_policy_rejected	pass	pass	pass
multi_gauge_sum_policy	pass	pass	pass
multi_owner_type_conflict_rejected	pass	pass	pass
absolute_drop_recovery	pass	pass	pass
absolute_counter_decrease	fail	fail	pass
absolute_multi_producer_collision	fail	fail	pass
operations_drop	fail	fail	pass
operations_gap_detected	pass	pass	pass
operations_late_does_not_repair_gap	pass	pass	pass
operations_duplicate_no_gap	pass	pass	pass
operations_conflict_sequence_reusable	pass	pass	pass
operations_receiver_restart	fail	fail	pass
operations_multi_producer	pass	pass	pass
operation_old_epoch_rejected	pass	pass	pass
operation_new_epoch_requires_snapshot	pass	pass	pass
operation_after_new_epoch_snapshot_accepted	pass	pass	pass
hybrid_snapshot_clears_incomplete	pass	pass	pass
hybrid_loss_reconciliation	pass	pass	pass
hybrid_receiver_restart	pass	pass	pass
hybrid_stale_removal	pass	pass	pass
scenario_set_cardinality	33	33	pass
