protocol	case	expected	actual	result
stream-line	socket_permissions	0660	0660	pass
stream-line	single_connect	ok	ok	pass
stream-line	single_message	1	1	pass
stream-line	malformed_rejected	1	1	pass
stream-line	disconnect_mid_message	2	2	pass
stream-line	maximum_payload_accepted	2	2	pass
stream-line	substantially_oversized_rejected	1	1	pass
stream-line	bounded_parser_buffer	true	true	pass
stream-line	shutdown_active_client_bounded	true	true	pass
stream-line	shutdown_breaks_old_connection	error	error	pass
stream-line	shutdown_refuses_new	error	error	pass
stream-line	startup_retry	ok	ok	pass
stream-line	startup_retry_bounded	true	true	pass
stream-line	restart_old_connection_error	error	error	pass
stream-line	restart_reconnect_new_epoch	1	1	pass
stream-framed	socket_permissions	0660	0660	pass
stream-framed	single_connect	ok	ok	pass
stream-framed	single_message	1	1	pass
stream-framed	malformed_rejected	1	1	pass
stream-framed	disconnect_mid_message	2	2	pass
stream-framed	maximum_payload_accepted	2	2	pass
stream-framed	substantially_oversized_rejected	1	1	pass
stream-framed	shutdown_active_client_bounded	true	true	pass
stream-framed	shutdown_breaks_old_connection	error	error	pass
stream-framed	shutdown_refuses_new	error	error	pass
stream-framed	startup_retry	ok	ok	pass
stream-framed	startup_retry_bounded	true	true	pass
stream-framed	restart_old_connection_error	error	error	pass
stream-framed	restart_reconnect_new_epoch	1	1	pass
datagram-line	socket_permissions	0660	0660	pass
datagram-line	single_connect	ok	ok	pass
datagram-line	single_message	1	1	pass
datagram-line	malformed_rejected	1	1	pass
datagram-line	maximum_payload_accepted	2	2	pass
datagram-line	substantially_oversized_rejected	1	1	pass
datagram-line	shutdown_refuses_new	error	error	pass
datagram-line	startup_retry	ok	ok	pass
datagram-line	startup_retry_bounded	true	true	pass
datagram-line	restart_reconnect_new_epoch	1	1	pass
stream-line	ack_after_accept	ACK 42	ACK 42	pass
stream-line	ack_read	ok	ok	pass
stream-line	nack_invalid	NACK 43 invalid	NACK 43 invalid	pass
stream-framed	ack_after_accept	ACK 42	ACK 42	pass
stream-framed	ack_read	ok	ok	pass
stream-framed	nack_invalid	NACK 43 invalid	NACK 43 invalid	pass
